"id_rider";"rider_full_name";"rider_weight";"rider_height";"loc_birth";"date_birth";"birth_latitude";"birth_longitude"
2710;Federico Fuligni;;;;;;
2188;Nicky Hayden;;;Owensboro;1981-07-30;37,7742152;-87,1133304
1296;Nobuatsu Aoki;;;;;;
346;Olivier Jacque;;;;;;
1151;Simone Sancioni;;;;;;
15;Andrea Ballerini;65;173;Alzano Lombardo;1996-10-16;45,7336026;9,730494
1654;Pol Espargaró;64;170;Granollers;1991-06-10;41,6079555;2,2876008
2717;Héctor Barberá;61;169;Dos Aguas;1986-11-02;39,2890143;-0,8004748
1786;Joan Olivé;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
2902;Marco Bezzecchi;61;174;Rimini;1998-11-12;43,9470982;12,630768610516004
342;Norifumi Abe;63;175;Tokyo;1975-09-07;35,6821936;139,762221
1341;Toni Elías;61;163;Manresa;1983-03-26;41,7288939;1,8286765
3109;Valentino Rossi;;;Urbino;1979-02-16;43,7262608;12,6363135
1532;Anthony Delhalle;67;175;Gold Coast;1981-07-17;-28,0023731;153,4145987
2607;Lorenzo Dalla Porta;61;163;Prato;1997-06-22;43,935718050000006;11,09414726770089
304;Loris Capirossi;59;165;Bologna;1973-04-04;44,4938203;11,3426327
618;Arnaud Vincent;60;167;Mancy;1974-11-30;48,9832841;3,9348901
2686;Brad Binder;63;170;Potchefstroom;1995-08-11;-26,707778;27,095833
832;Casey Stoner;;;Southport;1985-10-16;53,6475988;-3,0041751
3028;John McPhee;57;167;Oban;1994-07-14;56,415695;-5,4734688
2292;Jonas Folger;68;177;Mühldorf;1993-08-13;48,2405007;12,5250991
3325;Marco Bezzecchi;61;174;Rimini;1998-11-12;43,9470982;12,630768610516004
2619;Mattia Pasini;67;178;Rimini;1985-08-13;43,9470982;12,630768610516004
941;Nicky Hayden;;;Owensboro;1981-07-30;37,7742152;-87,1133304
2639;Rei Sato;73;175;Saint Dizier;1975-07-08;48,6371125;4,9473513
1987;Kenta Fujii;;;;;;
1994;Louis Rossi;;;;;;
1152;Stefan Bradl;63;170;Augsburg;1989-11-29;48,3668041;10,8986971
3092;Stefan Bradl;63;170;Augsburg;1989-11-29;48,3668041;10,8986971
2655;Tatsuki Suzuki;61;171;Chiba;1997-09-24;35,549399;140,2647303
867;Hiroaki Kuzuhara;;;;;;
3133;Ayumu Sasaki;60;164;Yokosuka;2000-10-04;35,2730564;139,6653829
3592;Iker Lecuona;70;179;Valencia;2000-01-06;39,4697065;-0,3763353
1816;Kévin Szalaï;;;;;;
684;Jules Cluzel;;;;;;
248;Dirk Heidolf;;;;;;
2780;Remy Gardner;;;;;;
262;Gábor Rizmayer;;;;;;
2950;Xavi Cardelús;63;175;Andorra la Vella;1998-05-15;42,5069391;1,5212467
3126;Alex de Angelis;67;179;Rimini;1984-02-26;43,9470982;12,630768610516004
3185;Luca Marini;69;184;Urbino;1997-08-10;43,7262608;12,6363135
3337;Michele Pirro;69;177;San Giovanni Rotondo;1986-07-05;41,7069106;15,7288455
2971;Andrea Dovizioso;;;Forlimpopoli;1986-03-23;44,1873049;12,1259056
35;Daniel Pedrosa;;;Sabadell;1985-09-29;41,5421013;2,1138977
3153;Fabio Quartararo;64;177;Nice;1999-04-20;43,7009358;7,2683912
3160;Héctor Garzó;62;170;Valencia;1998-06-09;39,4697065;-0,3763353
2140;John McPhee;57;167;Oban;1994-07-14;56,415695;-5,4734688
952;Randy de Puniet;65;169;Maisons Laffitte;1981-02-14;48,9461437;2,1450951
1325;Stefano Bianco;70;183;Rimini;1999-03-29;43,9470982;12,630768610516004
2798;Tatsuki Suzuki;61;171;Chiba;1997-09-24;35,549399;140,2647303
192;Valentino Rossi;;;Urbino;1979-02-16;43,7262608;12,6363135
3227;Xavi Cardelús;63;175;Andorra la Vella;1998-05-15;42,5069391;1,5212467
2354;Robin Mulhauser;;;;;;
3193;Mattia Casadei;67;175;;1999-07-02;;
1986;Katsuyuki Nakasuga;;;;;;
2969;Alonso López;70;181;Madrid;2001-12-21;40,4167047;-3,7035825
104;Kenny Roberts Jr,;;;Mountain View;1973-07-25;37,3893889;-122,0832101
2541;Andrea Dovizioso;;;Forlimpopoli;1986-03-23;44,1873049;12,1259056
1376;Cameron Beaubier;50;168;Rosevile;1992-12-06;53,96194385;-1,1466306295096371
2438;John McPhee;57;167;Oban;1994-07-14;56,415695;-5,4734688
2000;Marc Márquez;64;169;Cervera;1993-02-17;41,6730667;1,2729426
3054;Matteo Ferrari;63;175;Cesena;1997-02-12;44,136352;12,2422442
3196;Maximilian Kofler;58;173;Voecklabruck;2000-08-18;48,0078587;13,6460378
1859;Randy de Puniet;65;169;Maisons Laffitte;1981-02-14;48,9461437;2,1450951
356;Randy de Puniet;65;169;Maisons Laffitte;1981-02-14;48,9461437;2,1450951
2789;Sandro Cortese;66;169;Ochsenhausen;1990-01-06;48,0711222;9,9512104
1161;Thomas Lüthi;67;172;Oberdiessbach;1986-09-06;46,8399962;7,6192848
2802;Tito Rabat;67;178;Barcelona;1989-05-25;41,3828939;2,1774322
2416;Eugene Laverty;;;;;;
3453;Joshua Whatley;62;171;;2005-09-02;;
2410;Davide Pizzoli;;;;;;
2397;Azlan Shah;;;;2002-11-23;;
2642;Robin Mulhauser;;;;;;
2886;Kazuki Masaki;;;;;;
882;Jakub Smrž;;;;;;
493;José David de Gea;;;;;;
2623;Michele Pirro;69;177;San Giovanni Rotondo;1986-07-05;41,7069106;15,7288455
1701;Xavier Siméon;68;174;Brussels;1989-08-31;50,8550018;4,3512333761166175
2953;Xavier Siméon;68;174;Brussels;1989-08-31;50,8550018;4,3512333761166175
3542;Alessio Finello;;;Paterno;1985-09-08;40,378311;15,732769
3543;Alonso López;70;181;Madrid;2001-12-21;40,4167047;-3,7035825
3545;Andrea Mantovani;74;180;Ferrara;1994-09-30;44,766764249999994;11,827938995640167
3547;Andrea Migno;60;165;Cattolica;1996-01-10;43,9639933;12,7441515
3548;Arón Canet;67;170;Corbera;1999-09-30;39,1580768;-0,3540631
3549;Augusto Fernández;72;180;Madrid;1997-09-23;40,4167047;-3,7035825
842;Daniel Cooper;;;Almoradi;1996-11-21;38,1096615;-0,7919322
2697;Darryn Binder;63;175;Potchefstroom;1998-01-21;-26,707778;27,095833
2282;Héctor Barberá;61;169;Dos Aguas;1986-11-02;39,2890143;-0,8004748
3589;Héctor Garzó;62;170;Valencia;1998-06-09;39,4697065;-0,3763353
2010;Michael Ruben Rinaldi;;;;1995-12-21;;
286;Jimmy Petit;;;;;;
3590;Héctor Garzó;62;170;Valencia;1998-06-09;39,4697065;-0,3763353
3591;Iker Lecuona;70;179;Valencia;2000-01-06;39,4697065;-0,3763353
3599;Jeremy Alcoba;70;177;Tortosa;2001-11-15;40,8110158;0,5209333
2294;Jorge Lorenzo;;;Palma de Mallorca;1987-05-04;39,5695818;2,6500745
3657;Raúl Fernández;68;179;Madrid;2000-10-23;40,4167047;-3,7035825
3658;Riccardo Rossi;60;173;Genova;2002-03-21;44,40726;8,9338624
2530;Adam Norrodin;;;;;;
724;Michal Filla;;;;;;
2168;Lucas Mahias;;;;1989-04-14;;
2676;Andrea Dovizioso;;;Forlimpopoli;1986-03-23;44,1873049;12,1259056
161;Régis Laconi;73;175;Saint Dizier;1975-07-08;48,6371125;4,9473513
3568;David Almansa;;;España;;39,3260685;-4,8379791
1005;Akira Yanagawa;;;;;;
1265;Kousuke Akiyoshi;;;;;;
1790;John Hopkins;;;;;;
3491;Nicola Carraro;;;;2002-05-21;;
329;Michele Danese;;;Lecco;1983-07-03;45,9005485;9,41202482143963
302;Lee Longden;;;;;;
849;Dominique Aegerter;69;174;Rohrbach;1990-09-30;49,0460974;7,2655417
3252;Barry Baltus;70;179;Namur;2004-05-03;50,4665284;4,8661892
1154;Stefano Musco;70;183;Rimini;1999-03-29;43,9470982;12,630768610516004
39;David Checa;68;178;Barcelona;1980-04-20;41,3828939;2,1774322
571;Stefano Perugini;;;Wuppertal;1965-10-27;51,264018;7,1780374
2313;Lucas Mahias;;;;1989-04-14;;
1198;Blake Leigh-Smith;;;;;;
3500;Rory Skinner;71;180;;2001-09-27;;
2665;Álex Márquez;65;180;Cervera;1996-04-23;41,6730667;1,2729426
623;Carlos Checa;57;174;Valencia;2003-05-07;39,4697065;-0,3763353
2321;Mattia Pasini;67;178;Rimini;1985-08-13;43,9470982;12,630768610516004
755;Roberto Rolfo;;;;;;
2234;Alex de Angelis;67;179;Rimini;1984-02-26;43,9470982;12,630768610516004
1929;Colin Edwards;69;179;Houston;1974-02-27;29,7589382;-95,3676974
1839;Michele Pirro;69;177;San Giovanni Rotondo;1986-07-05;41,7069106;15,7288455
2210;Tetsuta Nagashima;51;163;Chiba;1970-06-14;35,549399;140,2647303
3360;Syarifuddin Azman;58;163;;2001-11-24;;
908;Lorenzo Zanetti;;;;;;
118;Masao Azuma;;;;;;
2604;Livio Loi;;;;;;
3085;Sergio García;60;167;;2003-03-22;;
2383;Adrián Gyutai;;;;;;
212;Alex Barros;70;174;Sao Paulo;1970-10-18;-23,5506507;-46,6333824
821;Anthony Rogers;67;175;Gold Coast;1981-07-17;-28,0023731;153,4145987
614;Anthony West;67;175;Gold Coast;1981-07-17;-28,0023731;153,4145987
3013;Héctor Garzó;62;170;Valencia;1998-06-09;39,4697065;-0,3763353
411;Alex Baldolini;;;;;;
249;Emilio Alzamora;;;;;;
1729;Apiwat Wongthananon;;;Chonbury;1994-02-02;13,14065175;101,22702210542388
2587;Jakub Kornfeil;61;169;Kyjov;1993-04-08;49,0104456;17,1224867
2137;Jasper Iwema;69;169;Assen;1989-11-15;52,9952273;6,560498
3093;Stefano Manzi;70;183;Rimini;1999-03-29;43,9470982;12,630768610516004
2651;Stefano Valtulini;59;165;Calcinate;1996-07-05;45,619721;9,7988771
321;Matthew Kuhne;;;;;;
23;Chojun Kameya;;;;;;
3087;Sho Hasegawa;;;;;;
2070;Álvaro Bautista;58;169;Talavera de la Reina;1984-11-21;39,9603798;-4,8311717
3324;Marcel Schrötter;68;171;Landsberg;1993-01-02;48,0514973;10,8737728
1674;Santiago Hernández;72;180;Madrid;1997-09-23;40,4167047;-3,7035825
1039;Efrén Vázquez;56;160;Barakaldo;1986-09-02;43,29548;-2,9900933
1997;Luigi Morciano;62;175;Anzio;1994-02-25;41,4471008;12,6285618
3002;Fabio Quartararo;64;177;Nice;1999-04-20;43,7009358;7,2683912
3060;Maverick Viñales;64;171;Figueres;1995-01-12;42,2666314;2,9638434
534;Mika Kallio;58;166;Valkeakoski;1982-11-08;61,2637921;24,0301278
2629;Naomichi Uramoto;;;;;;
1521;Alex de Angelis;67;179;Rimini;1984-02-26;43,9470982;12,630768610516004
221;Andrew Pitt;;;Kempsey;1976-02-19;-31,0798092;152,842289
2887;Kevin Zannoni;63;172;Cesena;2000-09-08;44,136352;12,2422442
3319;Lorenzo Savadori;67;177;Cesena;1993-04-04;44,136352;12,2422442
121;Mattia Angeloni;;;Italia;;42,6384261;12,674297
2911;Mike Jones;72;180;Palma de Mallorca;1997-08-01;39,5695818;2,6500745
1121;Pol Espargaró;64;170;Granollers;1991-06-10;41,6079555;2,2876008
1737;Brad Binder;63;170;Potchefstroom;1995-08-11;-26,707778;27,095833
149;Randy de Puniet;65;169;Maisons Laffitte;1981-02-14;48,9461437;2,1450951
2559;Darryn Binder;63;175;Potchefstroom;1998-01-21;-26,707778;27,095833
3583;Filip Salač;66;172;Mlada Boleslav;2001-12-12;50,4116187;14,9031301
3584;Filippo Farioli;62;176;Bergamo;2005-04-04;45,756655699999996;9,754219200862249
3585;Francesco Bagnaia;67;176;Torino;1997-01-14;45,0677551;7,6824892
281;Jaroslav Huleš;59;;Pisek;1974-07-02;49,3089887;14,147769
1792;John McPhee;57;167;Oban;1994-07-14;56,415695;-5,4734688
2356;Román Ramos;;;;;;
2042;Simone Grotzkyj;;;;;;
140;Pablo Nieto;;;;;;
3094;Stefano Nepa;58;167;Giulianova;2001-11-21;42,7534856;13,9667011
2601;Karel Hanika;64;180;Brno;1990-01-02;49,1922443;16,6113382
2620;Maverick Viñales;64;171;Figueres;1995-01-12;42,2666314;2,9638434
271;Héctor Faubel;;;;;;
2048;Takaaki Nakagami;70;175;Chiba;1992-02-09;35,549399;140,2647303
2077;Alessandro Tonucci;60;167;Fano;1993-04-23;43,8424173;13,0146632
2108;Danny Kent;65;176;Chippenham;1993-11-25;51,4587621;-2,1159032
3148;Dominique Aegerter;69;174;Rohrbach;1990-09-30;49,0460974;7,2655417
1787;Joan Olivé;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
540;Nicky Hayden;;;Owensboro;1981-07-30;37,7742152;-87,1133304
2337;Nicolás Terol;66;171;Alcoy;1988-09-27;38,6982275;-0,4747767
781;Thomas Walther;67;172;Oberdiessbach;1986-09-06;46,8399962;7,6192848
3113;Xavier Artigas;61;180;Barcelona;2003-05-27;41,3828939;2,1774322
3435;Gerard Riu;;;;;;
1523;Alex de Angelis;67;179;Rimini;1984-02-26;43,9470982;12,630768610516004
697;Loris Capirossi;59;165;Bologna;1973-04-04;44,4938203;11,3426327
54;Gerald Perdon;;;;;;
679;Joey Litjens;;;;;;
438;Dario Giuseppetti;;;;;;
860;Franz Aschenbrenner;;;;;;
1577;Iván Moreno;;;;;;
1435;Luca Vitali;81;182;Milano;1992-03-02;45,4641943;9,1896346
3237;Albert Arenas;63;169;Girona;1996-12-11;41,9793006;2,8199439
3387;Alberto Surra;;;Torino;2004-05-31;45,0677551;7,6824892
3532;Álex Márquez;65;180;Cervera;1996-04-23;41,6730667;1,2729426
3408;Carlos Tatay;57;174;Valencia;2003-05-07;39,4697065;-0,3763353
1548;Dani Rivas;;;Sabadell;1985-09-29;41,5421013;2,1138977
636;Daniel Sáez;;;Almoradi;1996-11-21;38,1096615;-0,7919322
641;David Checa;68;178;Barcelona;1980-04-20;41,3828939;2,1774322
3147;Dominique Aegerter;69;174;Rohrbach;1990-09-30;49,0460974;7,2655417
2473;María Herrera;54;162;Oropesa;1996-08-26;39,9175144;-5,1747241
713;Masaki Tokudome;70;177;Barcelona;1973-07-25;41,3828939;2,1774322
3486;Michele Pirro;69;177;San Giovanni Rotondo;1986-07-05;41,7069106;15,7288455
3357;Stefano Manzi;70;183;Rimini;1999-03-29;43,9470982;12,630768610516004
2521;Xavi Vierge;66;174;Barcelona;1997-04-30;41,3828939;2,1774322
2569;Fabio Quartararo;64;177;Nice;1999-04-20;43,7009358;7,2683912
49;Filipe Costa;66;172;Mlada Boleslav;2001-12-12;50,4116187;14,9031301
922;Martín Cárdenas;;;;;;
2249;Bryan Schouten;;;;;;
1143;Sergio Gadea;60;167;;2003-03-22;;
578;Tommy Bridewell;;;;;;
3107;Tommaso Marcon;;;;;;
2816;Albert Arenas;63;169;Girona;1996-12-11;41,9793006;2,8199439
1518;Alessandro Tonucci;60;167;Fano;1993-04-23;43,8424173;13,0146632
2382;Álvaro Bautista;58;169;Talavera de la Reina;1984-11-21;39,9603798;-4,8311717
2390;Andrea Iannone;74;179;Vasto;1989-08-09;42,12434;14,705923
1736;Brad Binder;63;170;Potchefstroom;1995-08-11;-26,707778;27,095833
2981;Bradley Smith;68;180;Oxford;1990-11-28;51,7520131;-1,2578499
20;Carlos Checa;57;174;Valencia;2003-05-07;39,4697065;-0,3763353
2630;Niccolò Antonelli;56;166;Cattolica;1996-02-23;43,9639933;12,7441515
2218;Xavier Siméon;68;174;Brussels;1989-08-31;50,8550018;4,3512333761166175
436;Colin Edwards;69;179;Houston;1974-02-27;29,7589382;-95,3676974
2104;Dani Pedrosa;;;Sabadell;1985-09-29;41,5421013;2,1138977
2999;Enea Bastianini;64;168;Rimini;1997-12-30;43,9470982;12,630768610516004
2879;Jorge Navarro;64;173;La Puebla de Vallbona;1996-02-03;39,5907339;-0,5532185
317;Mark van Kreij;;;;;;
838;Clément Dunikowski;;;;;;
368;Samuel Aubry;;;;;;
1145;Shinichi Ito;;;Miyagi;1966-12-07;38,3880155;140,9761025
497;Katsuyuki Nakasuga;;;;;;
413;Alex de Angelis;67;179;Rimini;1984-02-26;43,9470982;12,630768610516004
1433;Loris Capirossi;59;165;Bologna;1973-04-04;44,4938203;11,3426327
2613;Marc Márquez;64;169;Cervera;1993-02-17;41,6730667;1,2729426
3132;Augusto Fernández;72;180;Madrid;1997-09-23;40,4167047;-3,7035825
2547;Axel Pons;72;180;Palma de Mallorca;1997-08-01;39,5695818;2,6500745
1203;Colin Edwards;69;179;Houston;1974-02-27;29,7589382;-95,3676974
51;Franco Battaini;67;176;Torino;1997-01-14;45,0677551;7,6824892
2131;Isaac Viñales;66;174;Llança;1993-11-06;42,3646215;3,1581373
2872;Joan Mir;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
1098;Marco Melandri;63;179;Conil de la Frontera;1997-12-16;36,277054;-6,0881874
2176;Mattia Pasini;67;178;Rimini;1985-08-13;43,9470982;12,630768610516004
371;Sete Gibernau;70;177;Barcelona;1972-12-15;41,3828939;2,1774322
1918;Arthur Sissis;;;;;;
2208;Steven Odendaal;;;;;;
159;Russell Holland;;;;;;
1516;Aleix Espargaró;66;180;Granollers;1989-07-30;41,6079555;2,2876008
2242;Anthony West;67;175;Gold Coast;1981-07-17;-28,0023731;153,4145987
1922;Bradley Smith;68;180;Oxford;1990-11-28;51,7520131;-1,2578499
909;Loris Capirossi;59;165;Bologna;1973-04-04;44,4938203;11,3426327
3188;Marcel Schrötter;68;171;Landsberg;1993-01-02;48,0514973;10,8737728
2248;Broc Parkes;64;170;Hunter Region;1981-12-24;-32,8014931;151,72161319340788
1024;Carlos Checa;57;174;Valencia;2003-05-07;39,4697065;-0,3763353
2130;Héctor Barberá;61;169;Dos Aguas;1986-11-02;39,2890143;-0,8004748
3165;Jason Dupasquier;58;168;Bulle;2001-09-07;46,89399;6,2233766
3308;Jordi Torres;;181;Rubí;1987-08-27;41,4936194;2,0319476
2777;Pol Espargaró;64;170;Granollers;1991-06-10;41,6079555;2,2876008
490;Jorge Lorenzo;;;Palma de Mallorca;1987-05-04;39,5695818;2,6500745
2952;Xavi Vierge;66;174;Barcelona;1997-04-30;41,3828939;2,1774322
369;Sebastián Porto;;;;;;
516;Marco Melandri;63;179;Conil de la Frontera;1997-12-16;36,277054;-6,0881874
2232;Alessandro Tonucci;60;167;Fano;1993-04-23;43,8424173;13,0146632
3595;Izan Guevara;54;173;Palma de Mallorca;2004-06-28;39,5695818;2,6500745
3665;Sean Dylan Kelly;68;178;Miami;2002-05-17;25,7741728;-80,19362
3666;Sean Dylan Kelly;68;178;Miami;2002-05-17;25,7741728;-80,19362
3667;Sean Dylan Kelly;68;178;Miami;2002-05-17;25,7741728;-80,19362
3669;Senna Agius;;;;2005-06-09;;
3670;Sergio García;60;167;;2003-03-22;;
3671;Soichiro Minamimoto;;;;;;
385;Tohru Ukawa;;;;;;
1339;Tomoyoshi Koyama;;;;;;
3272;Elia Bartolini;;;;;;
2667;Álvaro Bautista;58;169;Talavera de la Reina;1984-11-21;39,9603798;-4,8311717
1903;Alberto Moncayo;;;;;;
2311;Louis Rossi;;;;;;
2978;Bo Bendsneyder;69;184;Rotterdam;1999-03-04;51,9244424;4,47775
1924;Cal Crutchlow;66;170;Coventry;1985-10-29;52,4081812;-1,510477
3066;Mike Di Meglio;70;171;Toulouse;1988-01-17;43,6044622;1,4442469
3659;Romano Fenati;62;165;Ascoli Piceno;1996-01-15;42,8834204;13,539593040686007
2454;Khairul Idham Pawi;;;;;;
1656;Quentin Jacquet;;;;;;
2583;Héctor Barberá;61;169;Dos Aguas;1986-11-02;39,2890143;-0,8004748
388;Toni Elías;61;163;Manresa;1983-03-26;41,7288939;1,8286765
883;James Ellison;;;Sheffield;1980-10-05;53,3806626;-1,4702278
456;Gergő Talmácsi;;;;;;
485;Joan Olivé;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
1971;Jonas Folger;68;177;Mühldorf;1993-08-13;48,2405007;12,5250991
2141;Jonas Folger;68;177;Mühldorf;1993-08-13;48,2405007;12,5250991
3375;Xavi Cardelús;63;175;Andorra la Vella;1998-05-15;42,5069391;1,5212467
3377;Xavi Vierge;66;174;Barcelona;1997-04-30;41,3828939;2,1774322
1472;Raffaele de Rosa;;;;;;
1204;Connor Behan;;;;;;
958;Rhys Moller;;;;1949-11-18;;
72;Hugo Marchand;;;;;;
2398;Brad Binder;63;170;Potchefstroom;1995-08-11;-26,707778;27,095833
2759;Marco Bezzecchi;61;174;Rimini;1998-11-12;43,9470982;12,630768610516004
2493;Randy Krummenacher;70;180;Gossau;1990-02-24;47,4155906;9,249359
3041;Khairul Idham Pawi;;;;;;
289;John Hopkins;;;;;;
1358;Alex de Angelis;67;179;Rimini;1984-02-26;43,9470982;12,630768610516004
2772;Nasser Al Malki;;;;;;
2446;Juan Francisco Guevara;62;164;Lorca;1995-08-19;37,6712139;-1,6990431
2600;Karel Hanika;64;180;Brno;1990-01-02;49,1922443;16,6113382
734;Naoki Matsudo;70;177;Barcelona;1973-07-25;41,3828939;2,1774322
3436;Harrison Voight;;;;2006-05-12;;
357;Randy Gevers;;;;;;
1469;Pepijn Bijsterbosch;;;;;;
2813;Álvaro Bautista;58;169;Talavera de la Reina;1984-11-21;39,9603798;-4,8311717
2341;Philipp Öttl;;;;;;
2023;Nicolás Terol;66;171;Alcoy;1988-09-27;38,6982275;-0,4747767
2396;Axel Pons;72;180;Palma de Mallorca;1997-08-01;39,5695818;2,6500745
380;Tamaki Serizawa;;;;;;
1012;Alex Hofmann;;;;;;
1741;Carmelo Morales;;;;;;
668;Hugo van den Berg;;;;;;
2334;Miroslav Popov;;;;;;
1850;Niklas Ajo;;;;;;
1259;Julián Miralles;;;;;;
3407;Cameron Beaubier;50;168;Rosevile;1992-12-06;53,96194385;-1,1466306295096371
2554;Daniel Sáez;;;Almoradi;1996-11-21;38,1096615;-0,7919322
69;Hideyuki Nakajo;;;Nara;1968-09-06;-0,5252306;166,9324426
2719;Iker Lecuona;70;179;Valencia;2000-01-06;39,4697065;-0,3763353
3420;Deniz Öncü;61;172;Alanya;2003-07-26;36,8864752;30,7029585
3367;Tetsuta Nagashima;51;163;Chiba;1970-06-14;35,549399;140,2647303
3025;Joe Roberts;69;180;Malibu;1997-06-16;34,035591;-118,689423
1022;Blake Leigh-Smith;;;;;;
2201;Román Ramos;;;;;;
3553;Bo Bendsneyder;69;184;Rotterdam;1999-03-04;51,9244424;4,47775
3555;Borja Gómez;69;183;Spain;;39,3260685;-4,8379791
190;Toni Elías;61;163;Manresa;1983-03-26;41,7288939;1,8286765
225;Arnaud Vincent;60;167;Mancy;1974-11-30;48,9832841;3,9348901
1461;Miles Thornton;;;;;;
3391;Alessio Finello;;;Paterno;1985-09-08;40,378311;15,732769
3594;Iván Ortolá;58;179;Spain;2004-08-04;39,3260685;-4,8379791
1272;Loris Capirossi;59;165;Bologna;1973-04-04;44,4938203;11,3426327
3045;Luca Marini;69;184;Urbino;1997-08-10;43,7262608;12,6363135
3596;Jack Miller;64;173;Townsville;1995-01-18;-19,2569391;146,8239537
3597;Jake Dixon;63;178;Dover;1996-01-15;51,1251275;1,3134228
3598;Jaume Masià;60;165;Algemesi;2000-10-31;39,190758;-0,4357471
3615;Krittapat Keankum;;;;;;
907;Lorenzo Baroni;67;177;Cesena;1993-04-04;44,136352;12,2422442
2646;Scott Redding;78;185;Quedgeley;1993-01-04;51,8274128;-2,2773034
2215;Toni Finsterbusch;;;;;;
362;Roberto Rolfo;;;;;;
2912;Nakarin Atiratphuvapat;;;;;;
552;Raffaele de Rosa;;;;;;
1727;Anthony West;67;175;Gold Coast;1981-07-17;-28,0023731;153,4145987
877;Ian Gardner;;;Wollongong;1959-10-11;-34,4278083;150,893054
899;Kazuma Watanabe;;;;1990-10-02;;
803;Aleix Espargaró;66;180;Granollers;1989-07-30;41,6079555;2,2876008
1722;Alex Phillis;72;176;Barcelona;1995-12-08;41,3828939;2,1774322
2863;Isaac Viñales;66;174;Llança;1993-11-06;42,3646215;3,1581373
1638;Mika Kallio;58;166;Valkeakoski;1982-11-08;61,2637921;24,0301278
1067;Iván Silva;76;182;Barcelona;1982-06-12;41,3828939;2,1774322
1581;Jasper Iwema;69;169;Assen;1989-11-15;52,9952273;6,560498
1072;Joan Olivé;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
1295;Nicolás Terol;66;171;Alcoy;1988-09-27;38,6982275;-0,4747767
2487;Nicolò Bulega;70;181;Montecchio Emilia;1999-10-16;44,7004508;10,4464132
3492;Pedro Acosta;62;171;Mazarrón;2004-05-25;37,5986534;-1,3138511
777;Takumi Takahashi;;;Saitama;1989-11-26;35,9754168;139,4160114
3379;Yari Montella;;;Oliveto;2000-01-05;43,3873195;11,7332582
2056;Toni Finsterbusch;;;;;;
2031;Ratthapark Wilairot;;;;;;
2426;Hiroki Ono;;;;;;
556;Robbin Harms;;;;;;
896;Jules Cluzel;;;;;;
1129;Robbie Stewart;;;;;;
773;Simone Grotzkyj;;;;;;
811;Alex Hofmann;;;;;;
2654;Taro Sekiguchi;;;;;;
1688;Taylor Mackenzie;;;AshbyDeLaZouch;1995-10-25;;
785;Tomoyoshi Koyama;;;;;;
1267;Kyle Ferris;;;;;;
857;Federico Sandi;;;;;;
1342;Toni Wirsing;;;;;;
3551;Azroy Anuar;;;;;;
1177;Zhu Wang;;;;;;
166;Shahrol Yuzy;;;;;;
3461;Kevin Zannoni;63;172;Cesena;2000-09-08;44,136352;12,2422442
19;Arnaud Vincent;60;167;Mancy;1974-11-30;48,9832841;3,9348901
2855;Franco Morbidelli;67;176;Rome;1994-12-04;41,8933203;12,4829321
2758;Marcel Schrötter;68;171;Landsberg;1993-01-02;48,0514973;10,8737728
3063;Michele Pirro;69;177;San Giovanni Rotondo;1986-07-05;41,7069106;15,7288455
3346;Raúl Fernández;68;179;Madrid;2000-10-23;40,4167047;-3,7035825
3211;Ryusei Yamanaka;60;172;Yotsukaido;2001-11-06;35,6696551;140,1679445
3509;Stefan Bradl;63;170;Augsburg;1989-11-29;48,3668041;10,8986971
2792;Stefano Manzi;70;183;Rimini;1999-03-29;43,9470982;12,630768610516004
2936;Steven Odendaal;;;;;;
3460;Kevin Manfredi;;;;1995-01-03;;
3409;Celestino Vietti;65;172;Cirie;2001-10-13;45,2352767;7,6003081
2994;Dennis Foggia;57;164;Rome;2001-01-07;41,8933203;12,4829321
319;Masaki Tokudome;70;177;Barcelona;1973-07-25;41,3828939;2,1774322
2485;Niccolò Antonelli;56;166;Cattolica;1996-02-23;43,9639933;12,7441515
3342;Nicolò Bulega;70;181;Montecchio Emilia;1999-10-16;44,7004508;10,4464132
3526;Xavi Forés;;;;;;
2852;Federico Fuligni;;;;;;
3431;Filippo Farioli;62;176;Bergamo;2005-04-04;45,756655699999996;9,754219200862249
960;Robert Mureșan;;;;;;
1858;Raffaele de Rosa;;;;;;
2870;Jeremy Alcoba;70;177;Tortosa;2001-11-15;40,8110158;0,5209333
3682;Tatchakorn Buasri;;;;2000-03-26;;
430;Casey Stoner;;;Southport;1985-10-16;53,6475988;-3,0041751
723;Michael Ranseder;;;;1995-12-21;;
2283;Isaac Viñales;66;174;Llança;1993-11-06;42,3646215;3,1581373
348;Patrick Lakerveld;;;;1952-03-04;;
3493;Piotr Biesiekirski;;;;;;
1942;Elena Rosell;;;;;;
3003;Filip Salač;66;172;Mlada Boleslav;2001-12-12;50,4116187;14,9031301
3370;Tommaso Marcon;;;;;;
344;Noriyuki Haga;;;;;;
2240;Andrea Migno;60;165;Cattolica;1996-01-10;43,9639933;12,7441515
3037;Kazuki Masaki;;;;;;
2739;Jules Danilo;64;179;Milan;1995-05-18;45,4641943;9,1896346
